full_name,short_name,year,rate
Aditya Birla Sunlife Insurance Company Ltd.,ABSLI,2016,0.54
Aditya Birla Sunlife Insurance Company Ltd.,ABSLI,2017,0.56
Aditya Birla Sunlife Insurance Company Ltd.,ABSLI,2018,0.6
Aditya Birla Sunlife Insurance Company Ltd.,ABSLI,2019,0.64
Aditya Birla Sunlife Insurance Company Ltd.,ABSLI,2020,0.69
Aditya Birla Sunlife Insurance Company Ltd.,ABSLI,2021,0.72
Aegon Life Insurance Company Ltd.,Aegon,2016,0.6207335433901936
Aegon Life Insurance Company Ltd.,Aegon,2017,0.65
Aegon Life Insurance Company Ltd.,Aegon,2018,0.8
Aegon Life Insurance Company Ltd.,Aegon,2019,0.83
Aegon Life Insurance Company Ltd.,Aegon,2020,0.84
Aegon Life Insurance Company Ltd.,Aegon,2021,0.87
Ageas Federal Life Insurance Company Ltd.,Ageas,2016,0.618946868211441
Ageas Federal Life Insurance Company Ltd.,Ageas,2017,0.6240635328681601
Ageas Federal Life Insurance Company Ltd.,Ageas,2018,0.6813891597930476
Ageas Federal Life Insurance Company Ltd.,Ageas,2019,0.745323938349706
Ageas Federal Life Insurance Company Ltd.,Ageas,2020,0.7025
Ageas Federal Life Insurance Company Ltd.,Ageas,2021,0.7334423548650858
Aviva Life Insurance Company India Ltd.,Aviva,2016,0.624932405638271
Aviva Life Insurance Company India Ltd.,Aviva,2017,0.7086615868095915
Aviva Life Insurance Company India Ltd.,Aviva,2018,0.7455876510981215
Aviva Life Insurance Company India Ltd.,Aviva,2019,0.727
Aviva Life Insurance Company India Ltd.,Aviva,2020,0.691
Aviva Life Insurance Company India Ltd.,Aviva,2021,0.6434879658385093
Bajaj Allianz Life Insurance Company Ltd.,BALIC,2016,0.5395026605360514
Bajaj Allianz Life Insurance Company Ltd.,BALIC,2017,0.5956
Bajaj Allianz Life Insurance Company Ltd.,BALIC,2018,0.644646543547397
Bajaj Allianz Life Insurance Company Ltd.,BALIC,2019,0.6337844235132797
Bajaj Allianz Life Insurance Company Ltd.,BALIC,2020,0.6631999999999999
Bajaj Allianz Life Insurance Company Ltd.,BALIC,2021,0.7011298601203655
Bharti AXA Life Insurance Company Ltd.,Bharti,2016,0.4973
Bharti AXA Life Insurance Company Ltd.,Bharti,2017,0.581891297661225
Bharti AXA Life Insurance Company Ltd.,Bharti,2018,0.5744328946181374
Bharti AXA Life Insurance Company Ltd.,Bharti,2019,0.5821351328772592
Bharti AXA Life Insurance Company Ltd.,Bharti,2020,0.5174
Bharti AXA Life Insurance Company Ltd.,Bharti,2021,0.38956418019074385
Canara HSBC OBC Life Insurance Company Ltd.,CHOICE,2016,0.592507084921333
Canara HSBC OBC Life Insurance Company Ltd.,CHOICE,2017,0.6896801257335399
Canara HSBC OBC Life Insurance Company Ltd.,CHOICE,2018,0.6978154153057833
Canara HSBC OBC Life Insurance Company Ltd.,CHOICE,2019,0.735871345766129
Canara HSBC OBC Life Insurance Company Ltd.,CHOICE,2020,0.7293000000000001
Canara HSBC OBC Life Insurance Company Ltd.,CHOICE,2021,0.7630065435417513
Edelweiss Tokio Life Insurance Company Ltd.,Edelweiss,2016,0.6391638116990229
Edelweiss Tokio Life Insurance Company Ltd.,Edelweiss,2017,0.6915570951137999
Edelweiss Tokio Life Insurance Company Ltd.,Edelweiss,2018,0.7399715837209755
Edelweiss Tokio Life Insurance Company Ltd.,Edelweiss,2019,0.7521244437525136
Edelweiss Tokio Life Insurance Company Ltd.,Edelweiss,2020,0.7554000000000001
Edelweiss Tokio Life Insurance Company Ltd.,Edelweiss,2021,0.7317671770493616
Exide Life Insurance Company Ltd.,Exide,2016,0.588
Exide Life Insurance Company Ltd.,Exide,2017,0.5867905840208295
Exide Life Insurance Company Ltd.,Exide,2018,0.5892766196302222
Exide Life Insurance Company Ltd.,Exide,2019,0.5962089112528854
Exide Life Insurance Company Ltd.,Exide,2020,0.5998
Exide Life Insurance Company Ltd.,Exide,2021,0.6181061340168589
Future Generali India Life Insurance Company Ltd.,Future Generali,2016,0.35226304380982865
Future Generali India Life Insurance Company Ltd.,Future Generali,2017,0.5130957920627535
Future Generali India Life Insurance Company Ltd.,Future Generali,2018,0.5783867508638151
Future Generali India Life Insurance Company Ltd.,Future Generali,2019,0.5348629633518849
Future Generali India Life Insurance Company Ltd.,Future Generali,2020,0.5704
Future Generali India Life Insurance Company Ltd.,Future Generali,2021,0.6277933166494921
HDFC Life Insurance Company Ltd.,HDFC,2016,0.7133398381978964
HDFC Life Insurance Company Ltd.,HDFC,2017,0.67
HDFC Life Insurance Company Ltd.,HDFC,2018,0.69
HDFC Life Insurance Company Ltd.,HDFC,2019,0.71
HDFC Life Insurance Company Ltd.,HDFC,2020,0.728
HDFC Life Insurance Company Ltd.,HDFC,2021,0.774
ICICI Prudential Life Insurance Company Ltd.,ICICI Pru,2016,0.787
ICICI Prudential Life Insurance Company Ltd.,ICICI Pru,2017,0.8057625799440483
ICICI Prudential Life Insurance Company Ltd.,ICICI Pru,2018,0.807
ICICI Prudential Life Insurance Company Ltd.,ICICI Pru,2019,0.7882696194468256
ICICI Prudential Life Insurance Company Ltd.,ICICI Pru,2020,0.8190000000000001
ICICI Prudential Life Insurance Company Ltd.,ICICI Pru,2021,0.8087817084036699
IndiaFirst Life Insurance Company Ltd.,IFLI,2016,0.6053
IndiaFirst Life Insurance Company Ltd.,IFLI,2017,0.6556000000000001
IndiaFirst Life Insurance Company Ltd.,IFLI,2018,0.6560992477144688
IndiaFirst Life Insurance Company Ltd.,IFLI,2019,0.6588
IndiaFirst Life Insurance Company Ltd.,IFLI,2020,0.6743000000000001
IndiaFirst Life Insurance Company Ltd.,IFLI,2021,0.711
Kotak Mahindra Life Insurance Ltd.,Kotak,2016,0.7682127714249005
Kotak Mahindra Life Insurance Ltd.,Kotak,2017,0.79
Kotak Mahindra Life Insurance Ltd.,Kotak,2018,0.8111391014216993
Kotak Mahindra Life Insurance Ltd.,Kotak,2019,0.8355
Kotak Mahindra Life Insurance Ltd.,Kotak,2020,0.8073999999999999
Kotak Mahindra Life Insurance Ltd.,Kotak,2021,0.8341555857363949
MaxLife  Insurance Company Ltd.,Max,2016,0.74
MaxLife  Insurance Company Ltd.,Max,2017,0.77
MaxLife  Insurance Company Ltd.,Max,2018,0.77
MaxLife  Insurance Company Ltd.,Max,2019,0.79
MaxLife  Insurance Company Ltd.,Max,2020,0.82
MaxLife  Insurance Company Ltd.,Max,2021,0.79
PNB Metlife India Insurance Company Ltd.,PNB,2016,0.633
PNB Metlife India Insurance Company Ltd.,PNB,2017,0.6931
PNB Metlife India Insurance Company Ltd.,PNB,2018,0.7170000000000001
PNB Metlife India Insurance Company Ltd.,PNB,2019,0.7731710884789088
PNB Metlife India Insurance Company Ltd.,PNB,2020,0.7422
PNB Metlife India Insurance Company Ltd.,PNB,2021,0.7588000000000001
Pramerica Life Insurance Company Ltd.,Pramerica,2016,0.5008378363112609
Pramerica Life Insurance Company Ltd.,Pramerica,2017,0.6476498788232589
Pramerica Life Insurance Company Ltd.,Pramerica,2018,0.7432882397413418
Pramerica Life Insurance Company Ltd.,Pramerica,2019,0.772
Pramerica Life Insurance Company Ltd.,Pramerica,2020,0.9079
Pramerica Life Insurance Company Ltd.,Pramerica,2021,0.9402471320097764
Reliance Nippon  Life Insurance Company Ltd.,Reliance,2016,0.558
Reliance Nippon  Life Insurance Company Ltd.,Reliance,2017,0.603
Reliance Nippon  Life Insurance Company Ltd.,Reliance,2018,0.664728725422367
Reliance Nippon  Life Insurance Company Ltd.,Reliance,2019,0.7259427768222085
Reliance Nippon  Life Insurance Company Ltd.,Reliance,2020,0.7076
Reliance Nippon  Life Insurance Company Ltd.,Reliance,2021,0.7288051928820002
SBI Life Insurance Company Ltd.,SBI,2016,0.6925
SBI Life Insurance Company Ltd.,SBI,2017,0.6880827247734714
SBI Life Insurance Company Ltd.,SBI,2018,0.6985896633431661
SBI Life Insurance Company Ltd.,SBI,2019,0.7091
SBI Life Insurance Company Ltd.,SBI,2020,0.7119
SBI Life Insurance Company Ltd.,SBI,2021,0.7929490135387331
Shriram Life Insurance Company Ltd.,Shriram,2016,0.4719369641475641
Shriram Life Insurance Company Ltd.,Shriram,2017,0.44419169745049353
Shriram Life Insurance Company Ltd.,Shriram,2018,0.5202241420976317
Shriram Life Insurance Company Ltd.,Shriram,2019,0.5727840158656359
Shriram Life Insurance Company Ltd.,Shriram,2020,0.5407
Shriram Life Insurance Company Ltd.,Shriram,2021,0.5587737425255013
Star Union Dai-ichi Life Insurance Company Ltd.,SUD,2016,0.5289
Star Union Dai-ichi Life Insurance Company Ltd.,SUD,2017,0.6044739256227507
Star Union Dai-ichi Life Insurance Company Ltd.,SUD,2018,0.6896
Star Union Dai-ichi Life Insurance Company Ltd.,SUD,2019,0.6962800176969328
Star Union Dai-ichi Life Insurance Company Ltd.,SUD,2020,0.6592
Star Union Dai-ichi Life Insurance Company Ltd.,SUD,2021,0.6944526276689764
TATA AIA Life Insurance Company Ltd.,Tata,2016,0.5684
TATA AIA Life Insurance Company Ltd.,Tata,2017,0.5657947836484568
TATA AIA Life Insurance Company Ltd.,Tata,2018,0.6533
TATA AIA Life Insurance Company Ltd.,Tata,2019,0.7106999999999999
TATA AIA Life Insurance Company Ltd.,Tata,2020,0.7304999999999999
TATA AIA Life Insurance Company Ltd.,Tata,2021,0.7015251734488328
